Country,EdLevel,YearsCodePro,Industry,Salary
Germany,Master's Degree,25.0,Other,96381.0
India,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",18175.0
Canada,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",52046.0
Netherlands,Bachelor's Degree,7.0,Other,71326.0
United Kingdom and Northern Ireland,Bachelor's Degree,12.0,Other,55862.0
India,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",24234.0
Spain,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",26772.0
Italy,Master's Degree,18.0,"Manufacturing, Transportation, or Supply Chain",65325.0
Sweden,Master's Degree,24.0,"Information Services, IT, Software Development, or other Technology",51415.0
India,Bachelor's Degree,4.0,Financial Services,36351.0
France,Master's Degree,8.0,Retail and Consumer Services,55687.0
Italy,Less than a Bachelor's,17.0,Wholesale,56757.0
Germany,Bachelor's Degree,7.0,Other,101735.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",120000.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",30431.0
Sweden,Less than a Bachelor's,14.0,"Information Services, IT, Software Development, or other Technology",55285.0
France,Less than a Bachelor's,8.0,Other,64254.0
Germany,Bachelor's Degree,25.0,Retail and Consumer Services,79246.0
United States of America,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",240000.0
Germany,Less than a Bachelor's,38.0,Retail and Consumer Services,74963.0
Germany,Master's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",61041.0
Germany,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",55687.0
United States of America,Bachelor's Degree,25.0,Oil & Gas,150000.0
Germany,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",77104.0
Sweden,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",130841.0
Germany,Bachelor's Degree,25.0,Healthcare,91026.0
United States of America,Master's Degree,29.0,Healthcare,15400.0
Germany,Bachelor's Degree,7.0,Insurance,80317.0
Italy,Bachelor's Degree,15.0,Wholesale,19276.0
Italy,Post Grad,5.0,Higher Education,21418.0
Italy,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",19276.0
Canada,Bachelor's Degree,22.0,Other,178443.0
United States of America,Bachelor's Degree,25.0,"Information Services, IT, Software Development, or other Technology",295000.0
India,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",26657.0
Germany,Master's Degree,21.0,Retail and Consumer Services,149925.0
United Kingdom and Northern Ireland,Less than a Bachelor's,12.0,"Information Services, IT, Software Development, or other Technology",69517.0
Germany,Post Grad,12.0,"Information Services, IT, Software Development, or other Technology",77104.0
Germany,Less than a Bachelor's,13.0,"Information Services, IT, Software Development, or other Technology",69608.0
Netherlands,Bachelor's Degree,2.0,Financial Services,51403.0
India,Bachelor's Degree,1.0,"Manufacturing, Transportation, or Supply Chain",12723.0
Germany,Bachelor's Degree,14.0,"Information Services, IT, Software Development, or other Technology",64254.0
Italy,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",18205.0
Germany,Bachelor's Degree,3.0,Retail and Consumer Services,64254.0
Canada,Less than a Bachelor's,21.0,"Manufacturing, Transportation, or Supply Chain",64686.0
United Kingdom and Northern Ireland,Post Grad,20.0,Financial Services,14897.0
Brazil,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",40575.0
Germany,Bachelor's Degree,3.0,Healthcare,59970.0
Germany,Bachelor's Degree,15.0,"Manufacturing, Transportation, or Supply Chain",65325.0
India,Bachelor's Degree,10.0,Financial Services,65431.0
Germany,Less than a Bachelor's,4.0,Healthcare,57828.0
United States of America,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",125000.0
United States of America,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",175000.0
France,Less than a Bachelor's,11.0,Higher Education,104948.0
Italy,Master's Degree,12.0,Healthcare,44978.0
Italy,Master's Degree,5.0,Retail and Consumer Services,68537.0
Germany,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",64254.0
France,Less than a Bachelor's,5.0,"Manufacturing, Transportation, or Supply Chain",38981.0
Netherlands,Master's Degree,5.0,Healthcare,69608.0
United States of America,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",215000.0
Poland,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",47852.0
United Kingdom and Northern Ireland,Master's Degree,15.0,Financial Services,62069.0
United States of America,Master's Degree,14.0,"Information Services, IT, Software Development, or other Technology",140000.0
Poland,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",53403.0
Germany,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",203470.0
Germany,Post Grad,3.0,Other,117798.0
Germany,Bachelor's Degree,2.0,Retail and Consumer Services,64254.0
France,Master's Degree,1.0,"Information Services, IT, Software Development, or other Technology",33733.0
India,Bachelor's Degree,2.0,Healthcare,12117.0
United States of America,Master's Degree,2.0,"Information Services, IT, Software Development, or other Technology",90000.0
Sweden,Master's Degree,15.0,"Manufacturing, Transportation, or Supply Chain",50752.0
United States of America,Bachelor's Degree,7.0,Financial Services,165974.0
United Kingdom and Northern Ireland,Post Grad,20.0,Other,40966.0
United States of America,Bachelor's Degree,9.0,Healthcare,192000.0
Germany,Bachelor's Degree,7.0,Financial Services,102806.0
United States of America,Bachelor's Degree,13.0,Healthcare,280000.0
United States of America,Bachelor's Degree,27.0,"Manufacturing, Transportation, or Supply Chain",145000.0
Spain,Master's Degree,13.0,"Information Services, IT, Software Development, or other Technology",64254.0
United States of America,Less than a Bachelor's,2.0,"Information Services, IT, Software Development, or other Technology",70000.0
Spain,Master's Degree,15.0,"Information Services, IT, Software Development, or other Technology",53545.0
Germany,Master's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",51403.0
India,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",26318.0
Canada,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",111527.0
Germany,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",55687.0
Netherlands,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",32127.0
United States of America,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",126000.0
United States of America,Post Grad,28.0,Higher Education,183000.0
United States of America,Master's Degree,14.0,"Information Services, IT, Software Development, or other Technology",125000.0
Spain,Bachelor's Degree,8.0,Other,74963.0
Spain,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",29985.0
Germany,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",74963.0
United States of America,Less than a Bachelor's,12.0,"Information Services, IT, Software Development, or other Technology",200000.0
Germany,Bachelor's Degree,0.5,Advertising Services,41765.0
United Kingdom and Northern Ireland,Post Grad,4.0,"Information Services, IT, Software Development, or other Technology",86897.0
United States of America,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",170000.0
United States of America,Less than a Bachelor's,8.0,Insurance,130000.0
Canada,Less than a Bachelor's,8.0,"Manufacturing, Transportation, or Supply Chain",63199.0
Germany,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",68537.0
Netherlands,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",32127.0
Italy,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",42836.0
Italy,Bachelor's Degree,6.0,Other,40694.0
Sweden,Bachelor's Degree,21.0,"Manufacturing, Transportation, or Supply Chain",49756.0
Poland,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",119631.0
United Kingdom and Northern Ireland,Less than a Bachelor's,7.0,"Information Services, IT, Software Development, or other Technology",34759.0
Germany,Less than a Bachelor's,21.0,Healthcare,87813.0
Germany,Master's Degree,14.0,Retail and Consumer Services,102806.0
Germany,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",44978.0
India,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",30292.0
Brazil,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",16230.0
Germany,Master's Degree,15.0,Other,64254.0
Canada,Less than a Bachelor's,6.0,"Information Services, IT, Software Development, or other Technology",53533.0
Spain,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",74963.0
Brazil,Less than a Bachelor's,10.0,"Information Services, IT, Software Development, or other Technology",36518.0
Germany,Less than a Bachelor's,4.0,"Information Services, IT, Software Development, or other Technology",41765.0
Canada,Post Grad,3.0,Financial Services,96657.0
United States of America,Bachelor's Degree,0.5,"Manufacturing, Transportation, or Supply Chain",73000.0
United States of America,Less than a Bachelor's,6.0,"Manufacturing, Transportation, or Supply Chain",50000.0
Sweden,Post Grad,22.0,Retail and Consumer Services,138212.0
Netherlands,Post Grad,20.0,Healthcare,85672.0
India,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",14540.0
Germany,Master's Degree,25.0,"Manufacturing, Transportation, or Supply Chain",113515.0
France,Master's Degree,17.0,Financial Services,85672.0
United States of America,Less than a Bachelor's,25.0,Healthcare,110000.0
Brazil,Bachelor's Degree,7.0,Legal Services,24345.0
United Kingdom and Northern Ireland,Less than a Bachelor's,5.0,"Information Services, IT, Software Development, or other Technology",52138.0
Germany,Bachelor's Degree,6.0,Healthcare,62112.0
Italy,Less than a Bachelor's,16.0,"Information Services, IT, Software Development, or other Technology",42836.0
Germany,Bachelor's Degree,8.0,Other,80317.0
Netherlands,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",64254.0
India,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",11511.0
United States of America,Master's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",165000.0
Italy,Less than a Bachelor's,3.0,"Information Services, IT, Software Development, or other Technology",25701.0
Germany,Bachelor's Degree,3.0,Healthcare,69608.0
France,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",149925.0
Netherlands,Bachelor's Degree,10.0,Retail and Consumer Services,78175.0
Netherlands,Master's Degree,23.0,Financial Services,117798.0
Germany,Master's Degree,11.0,"Manufacturing, Transportation, or Supply Chain",74963.0
United States of America,Less than a Bachelor's,27.0,Higher Education,111420.0
France,Master's Degree,8.0,"Information Services, IT, Software Development, or other Technology",107090.0
Sweden,Less than a Bachelor's,12.0,Financial Services,46439.0
Sweden,Bachelor's Degree,5.0,"Information Services, IT, Software Development, or other Technology",50678.0
Brazil,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",44633.0
Germany,Master's Degree,22.0,"Information Services, IT, Software Development, or other Technology",104343.0
United Kingdom and Northern Ireland,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",68276.0
India,Master's Degree,11.0,Other,52345.0
India,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",21810.0
United States of America,Bachelor's Degree,21.0,Insurance,120000.0
Germany,Master's Degree,12.0,"Information Services, IT, Software Development, or other Technology",91026.0
United States of America,Master's Degree,10.0,"Information Services, IT, Software Development, or other Technology",250000.0
France,Master's Degree,11.0,Retail and Consumer Services,58899.0
United Kingdom and Northern Ireland,Less than a Bachelor's,5.0,Higher Education,57104.0
Germany,Bachelor's Degree,25.0,"Information Services, IT, Software Development, or other Technology",91026.0
Germany,Bachelor's Degree,13.0,"Information Services, IT, Software Development, or other Technology",171343.0
United States of America,Bachelor's Degree,31.0,Retail and Consumer Services,150000.0
Netherlands,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",78711.0
United States of America,Bachelor's Degree,1.0,"Manufacturing, Transportation, or Supply Chain",73000.0
United States of America,Master's Degree,3.0,Other,72000.0
United Kingdom and Northern Ireland,Bachelor's Degree,23.0,"Information Services, IT, Software Development, or other Technology",47173.0
Germany,Master's Degree,3.0,"Information Services, IT, Software Development, or other Technology",74963.0
United States of America,Less than a Bachelor's,0.5,Advertising Services,50000.0
Netherlands,Bachelor's Degree,8.0,Retail and Consumer Services,107090.0
United States of America,Less than a Bachelor's,5.0,"Manufacturing, Transportation, or Supply Chain",40000.0
Brazil,Master's Degree,15.0,Retail and Consumer Services,22398.0
Canada,Less than a Bachelor's,20.0,Financial Services,204466.0
Brazil,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",169000.0
United States of America,Less than a Bachelor's,5.0,"Manufacturing, Transportation, or Supply Chain",110000.0
France,Master's Degree,8.0,Wholesale,128507.0
Germany,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",47548.0
Sweden,Post Grad,11.0,"Information Services, IT, Software Development, or other Technology",57128.0
Germany,Master's Degree,25.0,"Manufacturing, Transportation, or Supply Chain",128507.0
United States of America,Less than a Bachelor's,23.0,Advertising Services,110000.0
Italy,Post Grad,6.0,"Information Services, IT, Software Development, or other Technology",42836.0
Germany,Bachelor's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",91026.0
Germany,Master's Degree,17.0,"Information Services, IT, Software Development, or other Technology",144571.0
Spain,Post Grad,13.0,"Information Services, IT, Software Development, or other Technology",29985.0
France,Bachelor's Degree,7.0,Oil & Gas,72821.0
Canada,Bachelor's Degree,6.0,Insurance,70634.0
United Kingdom and Northern Ireland,Master's Degree,6.0,Financial Services,105517.0
United States of America,Bachelor's Degree,8.0,Other,170000.0
United States of America,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",200000.0
India,Master's Degree,19.0,"Information Services, IT, Software Development, or other Technology",53314.0
Spain,Less than a Bachelor's,6.0,Healthcare,58899.0
Germany,Master's Degree,30.0,"Information Services, IT, Software Development, or other Technology",85672.0
Germany,Master's Degree,4.0,Advertising Services,51403.0
United States of America,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",130000.0
Netherlands,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",69608.0
Spain,Master's Degree,13.0,"Information Services, IT, Software Development, or other Technology",69608.0
Spain,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",49797.0
Brazil,Bachelor's Degree,9.0,"Information Services, IT, Software Development, or other Technology",81150.0
United States of America,Bachelor's Degree,2.0,"Manufacturing, Transportation, or Supply Chain",90000.0
Germany,Master's Degree,3.0,Retail and Consumer Services,75177.0
United Kingdom and Northern Ireland,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",117931.0
United States of America,Bachelor's Degree,10.0,"Manufacturing, Transportation, or Supply Chain",235000.0
Italy,Less than a Bachelor's,15.0,"Manufacturing, Transportation, or Supply Chain",69608.0
India,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",12117.0
Spain,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",34804.0
Germany,Master's Degree,12.0,Other,96381.0
United States of America,Less than a Bachelor's,11.0,"Information Services, IT, Software Development, or other Technology",150000.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Financial Services,70759.0
Netherlands,Post Grad,7.0,Healthcare,91026.0
Germany,Bachelor's Degree,20.0,Other,48190.0
United States of America,Bachelor's Degree,3.0,Financial Services,92000.0
Germany,Master's Degree,13.0,Other,70679.0
United States of America,Less than a Bachelor's,6.0,Financial Services,72500.0
United States of America,Bachelor's Degree,5.0,Retail and Consumer Services,120000.0
Italy,Bachelor's Degree,5.0,Healthcare,21418.0
United States of America,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",139000.0
Netherlands,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",38167.0
Canada,Master's Degree,16.0,Advertising Services,245360.0
Canada,Less than a Bachelor's,12.0,Financial Services,118962.0
Germany,Less than a Bachelor's,10.0,Other,40480.0
Germany,Bachelor's Degree,6.0,"Manufacturing, Transportation, or Supply Chain",64254.0
United States of America,Bachelor's Degree,6.0,Other,165000.0
Germany,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",69608.0
United States of America,Bachelor's Degree,27.0,Healthcare,220000.0
United States of America,Bachelor's Degree,9.0,Financial Services,185000.0
France,Master's Degree,4.0,Legal Services,53545.0
Netherlands,Master's Degree,25.0,Healthcare,42836.0
Germany,Bachelor's Degree,3.0,"Information Services, IT, Software Development, or other Technology",51403.0
United Kingdom and Northern Ireland,Bachelor's Degree,21.0,Other,62069.0
United States of America,Master's Degree,26.0,"Information Services, IT, Software Development, or other Technology",246000.0
United Kingdom and Northern Ireland,Master's Degree,4.0,Other,136552.0
United Kingdom and Northern Ireland,Bachelor's Degree,12.0,"Information Services, IT, Software Development, or other Technology",173793.0
United Kingdom and Northern Ireland,Bachelor's Degree,1.0,"Information Services, IT, Software Development, or other Technology",39724.0
Germany,Master's Degree,4.0,Other,64254.0
United States of America,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",100000.0
Canada,Bachelor's Degree,4.0,Other,74351.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,Financial Services,68276.0
United States of America,Less than a Bachelor's,36.0,Financial Services,128000.0
United States of America,Bachelor's Degree,33.0,"Information Services, IT, Software Development, or other Technology",205000.0
United States of America,Bachelor's Degree,2.0,Financial Services,117000.0
United States of America,Bachelor's Degree,0.5,"Information Services, IT, Software Development, or other Technology",85000.0
France,Bachelor's Degree,11.0,Financial Services,109231.0
United States of America,Bachelor's Degree,22.0,Other,161000.0
United States of America,Less than a Bachelor's,15.0,Financial Services,135000.0
Germany,Bachelor's Degree,11.0,"Manufacturing, Transportation, or Supply Chain",64254.0
Sweden,Bachelor's Degree,6.0,"Information Services, IT, Software Development, or other Technology",73713.0
United States of America,Bachelor's Degree,2.0,Financial Services,105000.0
Canada,Master's Degree,0.5,"Information Services, IT, Software Development, or other Technology",69147.0
United States of America,Less than a Bachelor's,20.0,"Information Services, IT, Software Development, or other Technology",225000.0
United Kingdom and Northern Ireland,Bachelor's Degree,6.0,Healthcare,99311.0
United States of America,Less than a Bachelor's,8.0,"Manufacturing, Transportation, or Supply Chain",85000.0
United States of America,Post Grad,7.0,"Information Services, IT, Software Development, or other Technology",172000.0
United States of America,Bachelor's Degree,8.0,Financial Services,285000.0
United States of America,Less than a Bachelor's,5.0,Insurance,94000.0
Brazil,Bachelor's Degree,4.0,Financial Services,24345.0
Netherlands,Less than a Bachelor's,16.0,Other,64254.0
Sweden,Bachelor's Degree,2.0,Healthcare,40082.0
United States of America,Bachelor's Degree,29.0,"Information Services, IT, Software Development, or other Technology",200000.0
France,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",90491.0
Canada,Master's Degree,18.0,"Information Services, IT, Software Development, or other Technology",102605.0
Germany,Bachelor's Degree,9.0,Advertising Services,107090.0
Germany,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",98522.0
India,Bachelor's Degree,5.0,Financial Services,54359.0
Italy,Less than a Bachelor's,11.0,"Information Services, IT, Software Development, or other Technology",36410.0
Poland,Less than a Bachelor's,3.0,Other,40435.0
Germany,Master's Degree,11.0,"Information Services, IT, Software Development, or other Technology",77104.0
Canada,Bachelor's Degree,22.0,Healthcare,111527.0
Spain,Less than a Bachelor's,7.0,Retail and Consumer Services,62112.0
United States of America,Post Grad,8.0,"Information Services, IT, Software Development, or other Technology",120000.0
United Kingdom and Northern Ireland,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",68276.0
United States of America,Bachelor's Degree,6.0,Advertising Services,75000.0
Netherlands,Less than a Bachelor's,2.0,Wholesale,25701.0
Australia,Less than a Bachelor's,25.0,Legal Services,83952.0
Australia,Bachelor's Degree,8.0,Oil & Gas,134521.0
Germany,Less than a Bachelor's,3.0,"Manufacturing, Transportation, or Supply Chain",30842.0
United Kingdom and Northern Ireland,Bachelor's Degree,8.0,"Information Services, IT, Software Development, or other Technology",44690.0
Germany,Master's Degree,5.0,Retail and Consumer Services,85672.0
United States of America,Bachelor's Degree,5.0,Higher Education,80000.0
Germany,Master's Degree,7.0,"Information Services, IT, Software Development, or other Technology",81388.0
United States of America,Bachelor's Degree,5.0,Other,145000.0
Sweden,Bachelor's Degree,10.0,Financial Services,59892.0
United States of America,Master's Degree,4.0,Other,117000.0
India,Post Grad,10.0,"Information Services, IT, Software Development, or other Technology",24234.0
United Kingdom and Northern Ireland,Post Grad,34.0,Other,80690.0
Canada,Bachelor's Degree,23.0,Financial Services,111527.0
United Kingdom and Northern Ireland,Bachelor's Degree,40.0,"Information Services, IT, Software Development, or other Technology",91862.0
United States of America,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",130000.0
Germany,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",66396.0
Germany,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",96381.0
United States of America,Master's Degree,40.0,"Information Services, IT, Software Development, or other Technology",185000.0
Brazil,Less than a Bachelor's,17.0,"Information Services, IT, Software Development, or other Technology",51600.0
Italy,Post Grad,18.0,Higher Education,37481.0
United Kingdom and Northern Ireland,Bachelor's Degree,11.0,"Information Services, IT, Software Development, or other Technology",121035.0
United Kingdom and Northern Ireland,Less than a Bachelor's,6.0,Other,58966.0
Canada,Master's Degree,26.0,"Information Services, IT, Software Development, or other Technology",111527.0
United States of America,Bachelor's Degree,16.0,Higher Education,168000.0
Germany,Master's Degree,9.0,"Manufacturing, Transportation, or Supply Chain",71750.0
Canada,Bachelor's Degree,10.0,Other,63199.0
United States of America,Bachelor's Degree,10.0,Legal Services,80000.0
Italy,Bachelor's Degree,20.0,"Information Services, IT, Software Development, or other Technology",93168.0
Canada,Bachelor's Degree,27.0,"Information Services, IT, Software Development, or other Technology",137550.0
United States of America,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",39999.0
United States of America,Less than a Bachelor's,15.0,"Information Services, IT, Software Development, or other Technology",275000.0
United Kingdom and Northern Ireland,Bachelor's Degree,11.0,Healthcare,124138.0
United States of America,Bachelor's Degree,20.0,"Manufacturing, Transportation, or Supply Chain",138000.0
Germany,Master's Degree,5.0,Higher Education,23560.0
United States of America,Less than a Bachelor's,4.0,Healthcare,120000.0
United States of America,Master's Degree,5.0,"Information Services, IT, Software Development, or other Technology",115000.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",49655.0
Italy,Post Grad,3.0,Higher Education,42836.0
India,Bachelor's Degree,10.0,Other,48468.0
United States of America,Master's Degree,23.0,Financial Services,235000.0
Germany,Less than a Bachelor's,3.0,Healthcare,50868.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,Financial Services,62069.0
Spain,Bachelor's Degree,15.0,"Information Services, IT, Software Development, or other Technology",54616.0
Germany,Master's Degree,25.0,Other,69608.0
Australia,Bachelor's Degree,10.0,"Information Services, IT, Software Development, or other Technology",59494.0
Germany,Less than a Bachelor's,8.0,Healthcare,48833.0
Spain,Bachelor's Degree,2.0,Other,26772.0
Netherlands,Bachelor's Degree,4.0,"Information Services, IT, Software Development, or other Technology",39516.0
Poland,Master's Degree,9.0,"Information Services, IT, Software Development, or other Technology",107668.0
United Kingdom and Northern Ireland,Bachelor's Degree,7.0,"Information Services, IT, Software Development, or other Technology",86897.0
United States of America,Less than a Bachelor's,0.5,Retail and Consumer Services,160000.0
United States of America,Bachelor's Degree,10.0,Healthcare,175000.0
Canada,Bachelor's Degree,7.0,Other,104092.0
Netherlands,Master's Degree,30.0,Retail and Consumer Services,64254.0
India,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",12117.0
Italy,Less than a Bachelor's,8.0,"Information Services, IT, Software Development, or other Technology",42836.0
United States of America,Bachelor's Degree,2.0,Healthcare,85000.0
United States of America,Master's Degree,13.0,"Information Services, IT, Software Development, or other Technology",200000.0
Germany,Less than a Bachelor's,21.0,"Information Services, IT, Software Development, or other Technology",69608.0
Australia,Bachelor's Degree,4.0,Financial Services,79325.0
United Kingdom and Northern Ireland,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",40345.0
Germany,Post Grad,6.0,"Information Services, IT, Software Development, or other Technology",87813.0
India,Master's Degree,6.0,"Information Services, IT, Software Development, or other Technology",13329.0
United States of America,Less than a Bachelor's,12.0,Financial Services,138000.0
Germany,Bachelor's Degree,5.0,Retail and Consumer Services,59970.0
United Kingdom and Northern Ireland,Bachelor's Degree,9.0,Financial Services,74483.0
Sweden,Master's Degree,4.0,"Information Services, IT, Software Development, or other Technology",61919.0
United Kingdom and Northern Ireland,Less than a Bachelor's,10.0,Retail and Consumer Services,126621.0
United States of America,Post Grad,3.0,"Information Services, IT, Software Development, or other Technology",110000.0
Netherlands,Bachelor's Degree,5.0,Retail and Consumer Services,46049.0
Canada,Bachelor's Degree,2.0,Higher Education,74351.0
United States of America,Less than a Bachelor's,7.0,"Information Services, IT, Software Development, or other Technology",150000.0
United States of America,Bachelor's Degree,7.0,"Manufacturing, Transportation, or Supply Chain",162000.0
United States of America,Master's Degree,18.0,"Information Services, IT, Software Development, or other Technology",170000.0
Germany,Less than a Bachelor's,2.0,Advertising Services,49261.0
Germany,Master's Degree,20.0,"Information Services, IT, Software Development, or other Technology",182052.0
United Kingdom and Northern Ireland,Bachelor's Degree,4.0,"Manufacturing, Transportation, or Supply Chain",37241.0
Poland,Bachelor's Degree,2.0,"Information Services, IT, Software Development, or other Technology",31104.0
United States of America,Less than a Bachelor's,3.0,"Manufacturing, Transportation, or Supply Chain",60000.0
Germany,Less than a Bachelor's,6.0,Other,77104.0
India,Bachelor's Degree,2.0,Financial Services,36351.0
United States of America,Bachelor's Degree,4.0,Financial Services,100000.0
United States of America,Less than a Bachelor's,26.0,Healthcare,168000.0
United States of America,Bachelor's Degree,19.0,Healthcare,125000.0
